,#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL,Year
67,68,C.J. Beathard,QB,JAC,-,-,-,-,-,-,BYE,-,1.3,-,-,-,0.2,-,-,-,-,-,0.8,1.5,2021
68,69,Sam Ehlinger,QB,IND,-,-,-,-,-,-,-,-,0.1,-,0.9,-,-0.1,BYE,-,-,-,-,0.3,0.9,2021
69,70,Ryan Fitzpatrick,QB,FA,0.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.7,0.7,2021
70,71,David Blough,QB,DET,-,-,-,-,-,-,-,0.6,BYE,-,-,-,-,-,-,-,-,-,0.6,0.6,2021
71,72,Kellen Mond,QB,IND,-,-,-,-,-,0,-,-,-,-,-,-,-,BYE,-,-,0.2,-,0.1,0.2,2021
72,72,Nathan Peterman,QB,CHI,-,-,-,-,0.2,-,-,-,-,BYE,-,-,-,-,-,-,-,-,0.2,0.2,2021
73,74,Brett Rypien,QB,SEA,-,-,-,-,-,-,-,-,BYE,-,-,-,-,-,-,-,0,-,0.0,0.0,2021
74,74,Trace McSorley,QB,CHI,-,-,-,-,-,-,-,-,-,BYE,-,-,-,-,-,-,0,-,0.0,0.0,2021
75,74,Jacob Eason,QB,NYG,-,0,-,-,-,-,-,-,-,BYE,-,-,-,-,-,-,-,-,0.0,0.0,2021
76,77,Kurt Benkert,QB,FA,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.1,-,-,-,-,-0.1,-0.1,2021
77,78,Chase Daniel,QB,FA,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.2,-,-,-,-,-0.2,-0.2,2021
78,79,Davis Webb,QB,FA,-,-,-,-,-,-,-,-,-,-0.3,-,-,-,-,-,-,-,-,-0.3,-0.3,2021
79,80,Feleipe Franks,QB,ATL,0,-,-,0.3,-,BYE,-,-,0.3,0,-1,0,-,-,-,-,-,-,-0.1,-0.4,2021
80,81,Logan Woodside,QB,ATL,-,-,-,-,-,BYE,-0.1,-0.1,-0.1,-,-,-,-,-0.3,-,-,-,-,-0.2,-0.6,2021
81,82,John Wolford,QB,TB,-,-,-,-,-,-1.1,-,0.2,BYE,-,-,-,-,-,-,-,-,-,-0.5,-0.9,2021
82,83,Josh Rosen,QB,FA,-,0,-,-,-,-,-,-,-,-0.4,-0.8,-,-,-,-,-,-,-,-0.4,-1.2,2021
